#,Thermostat,identifier,311064582709
#,Thermostat,name,Home
#,Start,date,2015-07-01
#,End,date,2015-07-31

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Cool Stage 2 (sec),Heat Stage 1 (sec),Heat Stage 2 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Downstairs (F),Downstairs2,Kids' Room (F),Kids' Room2,Bedroom (F),Bedroom2
2015-07-01,00:00:00,cool,compressorCoolStage1On,,Sleep,74,67,74.7,60,75,9,300,195,0,0,300,,74.5,60,0,75,0,,,,,
2015-07-01,00:05:00,cool,compressorCoolStage2On,,Sleep,74,67,74.6,62,75,9,300,300,0,0,300,,74.4,62,0,74.9,0,,,,,
2015-07-01,00:10:00,cool,compressorCoolStage2On,,Sleep,74,67,74.3,62,75,9,300,300,0,0,300,,74.1,62,0,74.5,0,,,,,
2015-07-01,00:15:00,cool,compressorCoolStage2On,,Sleep,74,67,74,62,75,9,195,195,0,0,240,,73.7,62,0,74.3,0,,,,,
2015-07-01,00:20:00,cool,compressorCoolOff,,Sleep,74,67,73.5,60,75,9,0,0,0,0,0,,73,60,0,74.1,0,,,,,
2015-07-01,00:25:00,cool,compressorCoolOff,,Sleep,74,67,73.3,58,75,9,0,0,0,0,0,,72.6,58,0,74.1,0,,,,,
2015-07-01,00:30:00,cool,compressorCoolOff,,Sleep,74,67,73.4,58,75,7,0,0,0,0,0,,72.7,58,0,74.1,0,,,,,
2015-07-01,00:35:00,cool,compressorCoolOff,,Sleep,74,67,73.6,56,75,7,0,0,0,0,0,,72.9,56,0,74.3,0,,,,,
2015-07-01,00:40:00,cool,compressorCoolOff,,Sleep,74,67,73.8,56,75,7,0,0,0,0,0,,73.2,56,0,74.5,0,,,,,
2015-07-01,00:45:00,cool,compressorCoolOff,,Sleep,74,67,73.9,56,75,7,0,0,0,0,0,,73.4,56,0,74.5,0,,,,,
2015-07-01,00:50:00,cool,compressorCoolOff,,Sleep,74,67,74.1,56,75,7,0,0,0,0,0,,73.5,56,0,74.7,0,,,,,
2015-07-01,00:55:00,cool,compressorCoolOff,,Sleep,74,67,74.2,56,75,7,0,0,0,0,0,,73.7,56,0,74.8,0,,,,,
2015-07-01,01:00:00,cool,compressorCoolOff,,Sleep,74,67,74.3,57,75,7,0,0,0,0,0,,73.8,57,0,74.9,0,,,,,
2015-07-01,01:05:00,cool,compressorCoolOff,,Sleep,74,67,74.4,58,75,7,75,0,0,0,75,,73.9,58,0,75,0,,,,,
2015-07-01,01:10:00,cool,compressorCoolStage1On,,Sleep,74,67,74.6,58,75,7,300,0,0,0,300,,74.2,58,0,75.1,0,,,,,
2015-07-01,01:15:00,cool,compressorCoolStage1On,,Sleep,74,67,74.7,59,75,7,300,75,0,0,300,,74.4,59,0,75,0,,,,,
2015-07-01,01:20:00,cool,compressorCoolStage2On,,Sleep,74,67,74.6,61,75,7,300,300,0,0,300,,74.4,61,0,74.8,0,,,,,
2015-07-01,01:25:00,cool,compressorCoolStage2On,,Sleep,74,67,74.3,62,75,7,300,300,0,0,300,,74.1,62,0,74.5,0,,,,,
2015-07-01,01:30:00,cool,compressorCoolStage2On,,Sleep,74,67,73.8,61,73.9,7,15,15,0,0,60,,73.5,61,0,74.1,0,,,,,
2015-07-01,01:35:00,cool,compressorCoolOff,,Sleep,74,67,73.4,58,73.9,7,0,0,0,0,0,,72.8,58,0,74.1,0,,,,,
2015-07-01,01:40:00,cool,compressorCoolOff,,Sleep,74,67,73.4,58,73.9,7,0,0,0,0,0,,72.7,58,0,74.1,0,,,,,
2015-07-01,01:45:00,cool,compressorCoolOff,,Sleep,74,67,73.4,58,73.9,7,0,0,0,0,0,,72.8,58,0,74.1,0,,,,,
2015-07-01,01:50:00,cool,compressorCoolOff,,Sleep,74,67,73.6,58,73.9,7,0,0,0,0,0,,73,58,0,74.3,0,,,,,
2015-07-01,01:55:00,cool,compressorCoolOff,,Sleep,74,67,73.8,58,73.9,7,0,0,0,0,0,,73.1,58,0,74.5,0,,,,,
2015-07-01,02:00:00,cool,compressorCoolOff,,Sleep,74,67,73.9,58,73.9,7,0,0,0,0,0,,73.3,58,0,74.6,0,,,,,
2015-07-01,02:05:00,cool,compressorCoolOff,,Sleep,74,67,74.1,58,73.9,7,0,0,0,0,0,,73.4,58,0,74.8,0,,,,,
2015-07-01,02:10:00,cool,compressorCoolOff,,Sleep,74,67,74.1,58,73.9,7,0,0,0,0,0,,73.5,58,0,74.8,0,,,,,
2015-07-01,02:15:00,cool,compressorCoolOff,,Sleep,74,67,74.2,57,73.9,7,0,0,0,0,0,,73.6,57,0,74.8,0,,,,,
2015-07-01,02:20:00,cool,compressorCoolOff,,Sleep,74,67,74.3,57,73.9,7,0,0,0,0,0,,73.7,57,0,75,0,,,,,
2015-07-01,02:25:00,cool,compressorCoolOff,,Sleep,74,67,74.4,57,73.9,7,0,0,0,0,0,,73.8,57,0,75,0,,,,,
2015-07-01,02:30:00,cool,compressorCoolOff,,Sleep,74,67,74.4,57,73.9,7,0,0,0,0,0,,73.8,57,0,75,0,,,,,
2015-07-01,02:35:00,cool,compressorCoolOff,,Sleep,74,67,74.4,57,73.9,7,105,0,0,0,105,,73.9,57,0,75,0,,,,,
2015-07-01,02:40:00,cool,compressorCoolStage1On,,Sleep,74,67,74.6,58,73.9,7,300,0,0,0,300,,74.2,58,0,75.2,0,,,,,
2015-07-01,02:45:00,cool,compressorCoolStage1On,,Sleep,74,67,74.7,59,73.9,7,300,105,0,0,300,,74.4,59,0,75,0,,,,,
2015-07-01,02:50:00,cool,compressorCoolStage2On,,Sleep,74,67,74.4,60,73.9,7,300,300,0,0,300,,74.3,60,0,74.7,0,,,,,
2015-07-01,02:55:00,cool,compressorCoolStage2On,,Sleep,74,67,74.2,61,73.9,7,300,300,0,0,300,,73.9,61,0,74.5,0,,,,,
2015-07-01,03:00:00,cool,compressorCoolStage2On,,Sleep,74,67,73.8,60,73.9,7,45,45,0,0,90,,73.4,60,0,74.2,0,,,,,
2015-07-01,03:05:00,cool,compressorCoolOff,,Sleep,74,67,73.3,58,73.9,7,0,0,0,0,0,,72.6,58,0,73.9,0,,,,,
2015-07-01,03:10:00,cool,compressorCoolOff,,Sleep,74,67,73.2,57,73.9,7,0,0,0,0,0,,72.4,57,0,74,0,,,,,
2015-07-01,03:15:00,cool,compressorCoolOff,,Sleep,74,67,73.3,58,73.9,7,0,0,0,0,0,,72.6,58,0,74.1,0,,,,,
2015-07-01,03:20:00,cool,compressorCoolOff,,Sleep,74,67,73.5,57,73.9,7,0,0,0,0,0,,72.8,57,0,74.2,0,,,,,
2015-07-01,03:25:00,cool,compressorCoolOff,,Sleep,74,67,73.6,57,73.9,7,0,0,0,0,0,,72.9,57,0,74.3,0,,,,,
2015-07-01,03:30:00,cool,compressorCoolOff,,Sleep,74,67,73.7,57,73,11,0,0,0,0,0,,73.1,57,0,74.4,0,,,,,
2015-07-01,03:35:00,cool,compressorCoolOff,,Sleep,74,67,73.8,57,73,11,0,0,0,0,0,,73.1,57,0,74.5,0,,,,,
2015-07-01,03:40:00,cool,compressorCoolOff,,Sleep,74,67,73.8,57,73,11,0,0,0,0,0,,73.2,57,0,74.5,0,,,,,
2015-07-01,03:45:00,cool,compressorCoolOff,,Sleep,74,67,73.9,57,73,11,0,0,0,0,0,,73.3,57,0,74.6,0,,,,,
2015-07-01,03:50:00,cool,compressorCoolOff,,Sleep,74,67,74.1,57,73,11,0,0,0,0,0,,73.4,57,0,74.8,0,,,,,
2015-07-01,03:55:00,cool,compressorCoolOff,,Sleep,74,67,74.1,57,73,11,0,0,0,0,0,,73.5,57,0,74.8,0,,,,,
2015-07-01,04:00:00,cool,compressorCoolOff,,Sleep,74,67,74.2,57,73,11,0,0,0,0,0,,73.6,57,0,74.8,0,,,,,
2015-07-01,04:05:00,cool,compressorCoolOff,,Sleep,74,67,74.2,57,73,11,0,0,0,0,0,,73.6,57,0,74.8,0,,,,,
2015-07-01,04:10:00,cool,compressorCoolOff,,Sleep,74,67,74.3,57,73,11,0,0,0,0,0,,73.7,57,0,75,0,,,,,
2015-07-01,04:15:00,cool,compressorCoolOff,,Sleep,74,67,74.3,58,73,11,0,0,0,0,0,,73.7,58,0,75,0,,,,,
2015-07-01,04:20:00,cool,compressorCoolOff,,Sleep,74,67,74.3,58,73,11,0,0,0,0,0,,73.7,58,0,75,0,,,,,
2015-07-01,04:25:00,cool,compressorCoolOff,,Sleep,74,67,74.4,58,73,11,0,0,0,0,0,,73.8,58,0,75,0,,,,,
2015-07-01,04:30:00,cool,compressorCoolOff,,Sleep,74,67,74.4,58,72,9,90,0,0,0,90,,73.8,58,0,75,0,,,,,
